Quality,Buf3060,Buf120,Buf240
2839.56,null,0.301034,null
2841.29,null,0.657239,null
2841.9,0.231343,null,null
2851.4,null,null,0.276021
2851.94,null,0.318423,null
2852.69,null,null,0.280584
2860.07,null,null,0.788265
2863.15,null,0.329281,null
2864.85,null,null,0.273811
2867.26,null,0.371532,null
2868.67,0.21033,null,null
2872.65,null,null,0.294352
2877.59,null,null,0.653682
2877.72,null,null,0.663213
2878.11,null,null,0.616803
2878.43,null,0.401456,null
2879.81,null,null,0.303534
2887.92,0.325825,null,null
2888.49,0.376067,null,null
2889.23,null,0.185174,null
2897.22,null,null,0.335417
2899.89,0.310802,null,null
2901.4,null,0.458184,null
2908.49,null,0.263672,null
2909.5,null,0.368381,null
2913.18,0.784239,null,null
2922.55,null,0.781067,null
2923.41,0.222902,null,null
2936.49,0.432889,null,null
2940.34,null,null,0.482142
2947,0.417226,null,null
2949.34,null,null,0.295311
2951.95,0.452823,null,null
2955.05,0.719875,null,null
2958.21,0.756234,null,null
2958.7,0.465301,null,null
2970.65,0.22572,null,null
2972.11,null,null,0.428796
2972.17,0.318529,null,null
2985.53,0.294502,null,null
2986.71,null,0.810363,null
2988.24,0.527868,null,null
2993.37,null,null,0.430847
3002.6,0.18128,null,null
3003.37,0.536928,null,null
3005.12,null,0.435842,null
3007.48,null,null,0.317486
3011.09,null,null,0.508967
3018.17,null,0.295239,null
3020.02,null,0.335798,null
3021.85,null,null,0.505597
3025.84,null,null,0.37807
3033.35,0.258132,null,null
3034.45,0.266231,null,null
3041.7,null,0.257126,null
3045.99,0.256921,null,null
3051.55,null,null,0.226956
3058.93,null,0.703239,null
3061.13,null,0.388928,null
3067.45,null,null,0.437248
3068.11,0.37266,null,null
3074.32,null,0.187121,null
3074.59,null,0.233071,null
3076.22,null,0.38268,null
3078.48,null,null,0.384275
3080.28,null,null,0.438686
3081.85,null,0.413798,null
3084.66,null,0.252689,null
3087.38,0.322968,null,null
3092.23,0.430836,null,null
3093.53,null,null,0.351072
3096.87,null,0.33992,null
3116.67,null,0.368965,null
3125.99,null,0.337545,null
3141.46,0.19951,null,null
3144.14,null,0.267871,null
3146.12,null,0.406277,null
3149.2,null,null,0.274957
3154.8,null,null,0.298359
3157.26,null,null,0.402205
3158.36,null,0.346179,null
3162.33,null,0.373551,null
3166.05,0.358399,null,null
3168.47,0.312958,null,null
3168.91,0.318894,null,null
3170.64,0.331041,null,null
3171.93,null,null,0.300067
3173.66,0.293453,null,null
3174.61,null,0.349583,null
3177.5,0.262131,null,null
3179.84,null,0.3468,null
3181.64,null,0.205866,null
3184.68,null,0.453744,null
3187.36,0.592498,null,null
3189.02,0.300091,null,null
3192.38,null,null,0.415714
3192.47,0.418031,null,null
3205.58,0.323687,null,null
3214.74,0.327697,null,null
3217.75,0.242579,null,null
3218.4,null,0.177101,null
3219.3,0.346262,null,null
3220.05,null,null,0.506683
3221.38,null,null,0.394264
3223.72,0.17187,null,null
3225.47,null,null,0.348515
3226.48,null,0.26677,null
3226.88,null,0.272138,null
3236.61,null,0.276622,null
3245.98,null,null,0.281371
3246.32,null,0.288348,null
3246.43,null,0.313325,null
3253.42,0.228056,null,null
3253.84,0.353383,null,null
3255.34,null,null,0.426148
3261.66,null,0.211326,null
3279.87,null,0.268117,null
3281.54,0.216558,null,null
3283.64,0.160656,null,null
3283.65,0.166552,null,null
3285.35,0.267316,null,null
3290.35,0.221376,null,null
3291.43,null,null,0.423818
3296.96,null,null,0.468569
3301.85,null,0.375419,null
3310.43,null,null,0.485556
3313.86,0.29512,null,null
3331.42,null,0.461289,null
3333.98,null,null,0.475579
3334.56,0.623529,null,null
3336.04,null,0.259675,null
3342.03,0.156348,null,null
3344.53,null,null,0.361288
3353.75,0.387939,null,null
3364.59,null,0.209671,null
3371.28,null,null,0.36253
3385.35,0.206088,null,null
3385.94,0.319112,null,null
3390.23,null,null,0.457818
3390.57,null,null,0.354004
3391.49,0.269537,null,null
3395.04,null,0.359316,null
3408.96,null,0.700798,null
3412.48,null,null,0.340494
3416.56,null,null,0.425266
3417.9,0.236847,null,null
3418.33,0.25816,null,null
3422.74,0.204429,null,null
3423.62,null,null,0.30133
3431.39,null,null,0.419392
3439,0.214923,null,null
3447.1,null,null,0.389372
3451.14,null,0.405046,null
3461.39,0.182344,null,null
3485.12,null,0.336862,null
3486.88,null,0.310219,null
3501.96,null,0.322749,null
3551.22,null,0.291898,null
3564.22,null,null,0.507704
3601.95,null,0.336536,null
3682.03,null,0.553767,null
3915.88,0.820064,null,null
3934.77,null,null,0.779479
4101.19,null,null,0.820731
4115.37,0.821579,null,null
4207.68,null,null,0.705466
4393.63,null,0.802095,null
